time,target gyro x,target gyro y,target gyro z,gyro x,gyro y,gyro z,target angle x,target angle y,target angle z,angle x,angle y,angle z,target vel z,vel z,target pos z,pos z,desire thrust,desire rotor speed,rotor speed,motor_output,bettery voltage,height,thrust,imu_z,acc_z_d,acc_z_com
38.73199,0.59270,0.26829,-0.44948,-0.06815,0.15800,0.14231,0.02461,-0.02719,2.22641,0.05674,-0.07416,2.31336,0.03060,0.01003,-0.65000,-0.67040,-4.43649,824.80175,839.66131,0.61258,12.53936,0.67040,-0.23356,-10.07946,9.73286,9.49929
38.73300,0.59270,0.26829,-0.44948,-0.07544,0.15922,0.13621,0.02461,-0.02719,2.22641,0.05674,-0.07416,2.31336,0.03060,0.01003,-0.65000,-0.67040,-4.43584,824.74157,839.66131,0.61253,12.53932,0.67040,-0.23425,-10.07946,9.73286,9.49860
38.73400,0.59270,0.26829,-0.44948,-0.07544,0.15922,0.13621,0.02461,-0.02719,2.22641,0.05674,-0.07416,2.31336,0.03060,0.01003,-0.65000,-0.67040,-4.43584,824.74157,839.66131,0.61253,12.53928,0.67040,-0.23500,-10.10381,9.73286,9.49785
38.73500,0.59270,0.26829,-0.44948,-0.07755,0.15582,0.12872,0.02461,-0.02719,2.22641,0.05674,-0.07416,2.31336,0.03060,0.01003,-0.65000,-0.67040,-4.43515,824.67712,844.40063,0.61247,12.53923,0.67040,-0.23574,-10.10381,9.73286,9.49711
38.73600,0.59270,0.26829,-0.44948,-0.07755,0.15582,0.12872,0.02461,-0.02719,2.22641,0.05674,-0.07416,2.31336,0.03060,0.01003,-0.65000,-0.67040,-4.43515,824.67712,844.40063,0.61247,12.53919,0.67040,-0.23629,-10.00990,9.73286,9.49656
38.73699,0.59270,0.26829,-0.44948,-0.07759,0.15775,0.12517,0.02461,-0.02719,2.22641,0.05674,-0.07416,2.31336,0.03060,0.01003,-0.65000,-0.67040,-4.43463,824.62902,844.40063,0.61243,12.53914,0.67040,-0.23685,-10.00990,9.73286,9.49600
38.73799,0.59270,0.26829,-0.44948,-0.07759,0.15775,0.12517,0.02461,-0.02719,2.22641,0.05674,-0.07416,2.31336,0.03060,0.01003,-0.65000,-0.67040,-4.43463,824.62902,838.09326,0.61243,12.53909,0.67040,-0.23716,-9.89211,9.73286,9.49569
38.73899,-1.57079,1.57079,-0.59796,-0.08229,0.16128,0.12749,-0.18073,0.10497,2.22641,0.05576,-0.07287,2.31486,0.55560,0.01003,-0.30000,-0.67040,-3.77889,761.22332,838.09326,0.55411,12.53903,0.67040,-0.24028,-9.89211,8.33214,8.09185
38.74000,-1.57079,1.57079,-0.59796,-0.08229,0.16128,0.12749,-0.18073,0.10497,2.22641,0.05576,-0.07287,2.31486,0.55560,0.01003,-0.30000,-0.67040,-3.77889,761.22332,845.19567,0.55411,12.53898,0.67040,-0.24337,-9.87597,8.33214,8.08876
38.74100,-1.57079,1.57079,-0.59796,-0.08738,0.15956,0.12810,-0.18073,0.10497,2.22641,0.05576,-0.07287,2.31486,0.55560,0.01003,-0.30000,-0.67040,-3.77601,760.93286,845.19567,0.55385,12.53892,0.67040,-0.24646,-9.87597,8.33214,8.08568
38.74200,-1.57079,1.57079,-0.59796,-0.08738,0.15956,0.12810,-0.18073,0.10497,2.22641,0.05576,-0.07287,2.31486,0.55560,0.01003,-0.30000,-0.67040,-3.77601,760.93286,845.19567,0.55385,12.53886,0.67040,-0.24945,-9.82666,8.33214,8.08269
38.74300,-1.57079,1.57079,-0.59796,-0.08871,0.15890,0.12216,-0.18073,0.10497,2.22641,0.05576,-0.07287,2.31486,0.55560,0.01003,-0.30000,-0.67040,-3.77322,760.65142,845.19567,0.55360,12.53880,0.67040,-0.25244,-9.82666,8.33214,8.07970
38.74399,-1.57079,1.57079,-0.59796,-0.08871,0.15890,0.12216,-0.18073,0.10497,2.22641,0.05576,-0.07287,2.31486,0.55560,0.01003,-0.30000,-0.67040,-3.77322,760.65142,845.19567,0.55360,12.53874,0.67040,-0.25517,-9.69660,8.33214,8.07697
38.74499,-1.57079,1.57079,-0.59796,-0.09358,0.16436,0.11357,-0.18073,0.10497,2.22641,0.05576,-0.07287,2.31486,0.55560,0.01003,-0.30000,-0.67040,-3.77067,760.39453,845.19567,0.55337,12.53868,0.67040,-0.25790,-9.69660,8.33214,8.07424
38.74599,-1.57079,1.57079,-0.59796,-0.09358,0.16436,0.11357,-0.18073,0.10497,2.22641,0.05576,-0.07287,2.31486,0.55560,0.01003,-0.30000,-0.67040,-3.77067,760.39453,836.53112,0.55337,12.53861,0.67040,-0.26056,-9.66258,8.33214,8.07158
38.74700,-1.57079,1.57079,-0.59796,-0.10552,0.16704,0.10438,-0.18073,0.10497,2.22641,0.05576,-0.07287,2.31486,0.55560,0.01003,-0.30000,-0.67040,-3.76818,760.14392,833.42425,0.55314,12.53854,0.67040,-0.26322,-9.66258,8.33214,8.06892
38.74800,-1.57079,1.57079,-0.59796,-0.10552,0.16704,0.10438,-0.18073,0.10497,2.22641,0.05576,-0.07287,2.31486,0.55560,0.01003,-0.30000,-0.67040,-3.76818,760.14392,831.87939,0.55314,12.53847,0.67040,-0.26606,-9.75243,8.33214,8.06608
38.74900,-0.08387,0.71326,-0.48707,-0.11536,0.16240,0.09284,-0.10222,0.05460,2.22641,0.05459,-0.07148,2.31613,0.55560,-0.00061,-0.30000,-0.67040,-3.69160,752.38018,833.42425,0.54601,12.53840,0.67040,-0.26921,-9.75243,8.17416,7.90494
38.75000,-0.08387,0.71326,-0.48707,-0.11536,0.16240,0.09284,-0.10222,0.05460,2.22641,0.05459,-0.07148,2.31613,0.55560,-0.00061,-0.30000,-0.67040,-3.69160,752.38018,833.42425,0.54601,12.53832,0.67040,-0.27246,-9.79456,8.17416,7.90170
38.75099,-0.08387,0.71326,-0.48707,-0.11943,0.16015,0.08354,-0.10222,0.05460,2.22641,0.05459,-0.07148,2.31613,0.55560,-0.00061,-0.30000,-0.67040,-3.68858,752.07165,833.42425,0.54573,12.53825,0.67040,-0.27570,-9.79455,8.17416,7.89845
38.75199,-0.08387,0.71326,-0.48707,-0.11943,0.16015,0.08354,-0.10222,0.05460,2.22641,0.05459,-0.07148,2.31613,0.55560,-0.00061,-0.30000,-0.67040,-3.68858,752.07165,842.02429,0.54573,12.53817,0.67040,-0.27886,-9.75825,8.17416,7.89529
38.75299,-0.08387,0.71326,-0.48707,-0.12594,0.16353,0.08395,-0.10222,0.05460,2.22641,0.05459,-0.07148,2.31613,0.55560,-0.00061,-0.30000,-0.67040,-3.68562,751.76989,842.02429,0.54546,12.53808,0.67040,-0.28203,-9.75825,8.17416,7.89212
38.75400,-0.08387,0.71326,-0.48707,-0.12594,0.16353,0.08395,-0.10222,0.05460,2.22641,0.05459,-0.07148,2.31613,0.55560,-0.00061,-0.30000,-0.67040,-3.68562,751.76989,842.02429,0.54546,12.53800,0.67040,-0.28523,-9.77410,8.17416,7.88892
38.75500,-0.08387,0.71326,-0.48707,-0.13621,0.16296,0.09183,-0.10222,0.05460,2.22641,0.05459,-0.07148,2.31613,0.55560,-0.00061,-0.30000,-0.67040,-3.68263,751.46508,831.10913,0.54519,12.53792,0.67040,-0.28843,-9.77410,8.17416,7.88572
38.75600,-0.08387,0.71326,-0.48707,-0.13621,0.16296,0.09183,-0.10222,0.05460,2.22641,0.05459,-0.07148,2.31613,0.55560,-0.00061,-0.30000,-0.67040,-3.68263,751.46508,831.10913,0.54519,12.53783,0.67040,-0.29176,-9.83953,8.17416,7.88239
38.75699,-0.08387,0.71326,-0.48707,-0.14183,0.15766,0.10000,-0.10222,0.05460,2.22641,0.05459,-0.07148,2.31613,0.55560,-0.00061,-0.30000,-0.67040,-3.67952,751.14758,842.02429,0.54490,12.53774,0.67040,-0.29509,-9.83953,8.17416,7.87906
38.75799,-0.08387,0.71326,-0.48707,-0.14183,0.15766,0.10000,-0.10222,0.05460,2.22641,0.05459,-0.07148,2.31613,0.55560,-0.00061,-0.30000,-0.67040,-3.67952,751.14758,842.02429,0.54490,12.53765,0.67040,-0.29836,-9.80676,8.17416,7.87579
38.75899,0.67803,0.39392,-0.47408,-0.14364,0.15795,0.10902,-0.05926,0.03598,2.22641,0.05315,-0.07006,2.31713,0.55560,0.00265,-0.30000,-0.67040,-3.66458,749.62097,842.02429,0.54351,12.53756,0.67040,-0.30168,-9.80676,8.14874,7.84706
38.75999,0.67803,0.39392,-0.47408,-0.14364,0.15795,0.10902,-0.05926,0.03598,2.22641,0.05315,-0.07006,2.31713,0.55560,0.00265,-0.30000,-0.67040,-3.66458,749.62097,823.48431,0.54351,12.53746,0.67040,-0.30475,-9.68577,8.14874,7.84399
38.76100,0.67803,0.39392,-0.47408,-0.15121,0.16310,0.12253,-0.05926,0.03598,2.22641,0.05315,-0.07006,2.31713,0.55560,0.00265,-0.30000,-0.67040,-3.66170,749.32727,823.48431,0.54324,12.53737,0.67040,-0.30782,-9.68577,8.14874,7.84091
38.76200,0.67803,0.39392,-0.47408,-0.15121,0.16310,0.12253,-0.05926,0.03598,2.22641,0.05315,-0.07006,2.31713,0.55560,0.00265,-0.30000,-0.67040,-3.66170,749.32727,821.22412,0.54324,12.53728,0.67040,-0.31082,-9.64834,8.14874,7.83792
38.76300,0.67803,0.39392,-0.47408,-0.16345,0.16308,0.13802,-0.05926,0.03598,2.22641,0.05315,-0.07006,2.31713,0.55560,0.00265,-0.30000,-0.67040,-3.65890,749.04058,821.22412,0.54299,12.53719,0.67040,-0.31382,-9.64834,8.14874,7.83492
38.76399,0.67803,0.39392,-0.47408,-0.16345,0.16308,0.13802,-0.05926,0.03598,2.22641,0.05315,-0.07006,2.31713,0.55560,0.00265,-0.30000,-0.67040,-3.65890,749.04058,818.97613,0.54299,12.53709,0.67040,-0.31688,-9.67902,8.14874,7.83186
38.76499,0.67803,0.39392,-0.47408,-0.17126,0.16056,0.15363,-0.05926,0.03598,2.22641,0.05315,-0.07006,2.31713,0.55560,0.00265,-0.30000,-0.67040,-3.65604,748.74792,818.97613,0.54273,12.53700,0.67040,-0.31994,-9.67902,8.14874,7.82880
38.76599,0.67803,0.39392,-0.47408,-0.17126,0.16056,0.15363,-0.05926,0.03598,2.22641,0.05315,-0.07006,2.31713,0.55560,0.00265,-0.30000,-0.67040,-3.65604,748.74792,818.97613,0.54273,12.53691,0.67040,-0.32286,-9.60824,8.14874,7.82588
38.76699,0.67803,0.39392,-0.47408,-0.17622,0.16544,0.17576,-0.05926,0.03598,2.22641,0.05315,-0.07006,2.31713,0.55560,0.00265,-0.30000,-0.67040,-3.65332,748.46868,813.04156,0.54248,12.53682,0.67040,-0.32578,-9.60824,8.14874,7.82296
38.76800,0.67803,0.39392,-0.47408,-0.17622,0.16544,0.17576,-0.05926,0.03598,2.22641,0.05315,-0.07006,2.31713,0.55560,0.00265,-0.30000,-0.67040,-3.65332,748.46868,813.04156,0.54248,12.53673,0.67040,-0.32845,-9.48575,8.14874,7.82028
38.76900,0.56659,0.21399,-0.46938,-0.18595,0.17349,0.20920,-0.04518,0.01776,2.22641,0.05132,-0.06868,2.31819,0.55560,-0.00163,-0.30000,-0.67040,-3.64012,747.11529,813.04156,0.54124,12.53664,0.67040,-0.33117,-9.48575,8.12587,7.79469
38.77000,0.56659,0.21399,-0.46938,-0.18595,0.17349,0.20920,-0.04518,0.01776,2.22641,0.05132,-0.06868,2.31819,0.55560,-0.00163,-0.30000,-0.67040,-3.64012,747.11529,813.04156,0.54124,12.53655,0.67040,-0.33382,-9.44818,8.12587,7.79205
38.77099,0.56659,0.21399,-0.46938,-0.19712,0.17505,0.24876,-0.04518,0.01776,2.22641,0.05132,-0.06868,2.31819,0.55560,-0.00163,-0.30000,-0.67040,-3.63765,746.86175,805.74316,0.54102,12.53645,0.67040,-0.33646,-9.44819,8.12587,7.78940
38.77199,0.56659,0.21399,-0.46938,-0.19712,0.17505,0.24876,-0.04518,0.01776,2.22641,0.05132,-0.06868,2.31819,0.55560,-0.00163,-0.30000,-0.67040,-3.63765,746.86175,802.14288,0.54102,12.53636,0.67040,-0.33899,-9.38867,8.12587,7.78688
38.77299,0.56659,0.21399,-0.46938,-0.20272,0.17464,0.28897,-0.04518,0.01776,2.22641,0.05132,-0.06868,2.31819,0.55560,-0.00163,-0.30000,-0.67040,-3.63529,746.61956,802.14288,0.54080,12.53627,0.67040,-0.34152,-9.38867,8.12587,7.78435
38.77399,0.56659,0.21399,-0.46938,-0.20272,0.17464,0.28897,-0.04518,0.01776,2.22641,0.05132,-0.06868,2.31819,0.55560,-0.00163,-0.30000,-0.67040,-3.63529,746.61956,807.19238,0.54080,12.53619,0.67040,-0.34366,-9.19910,8.12587,7.78220
38.77500,0.56659,0.21399,-0.46938,-0.20790,0.18010,0.33149,-0.04518,0.01776,2.22641,0.05132,-0.06868,2.31819,0.55560,-0.00163,-0.30000,-0.67040,-3.63328,746.41363,803.57916,0.54062,12.53610,0.67040,-0.34581,-9.19910,8.12587,7.78006
38.77600,0.56659,0.21399,-0.46938,-0.20790,0.18010,0.33149,-0.04518,0.01776,2.22641,0.05132,-0.06868,2.31819,0.55560,-0.00163,-0.30000,-0.67040,-3.63328,746.41363,803.57916,0.54062,12.53601,0.67040,-0.34762,-9.03295,8.12587,7.77824
38.77700,0.56659,0.21399,-0.46938,-0.21958,0.18523,0.37656,-0.04518,0.01776,2.22641,0.05132,-0.06868,2.31819,0.55560,-0.00163,-0.30000,-0.67040,-3.63159,746.23956,800.71173,0.54047,12.53593,0.67040,-0.34944,-9.03295,8.12587,7.77643
38.77799,0.56659,0.21399,-0.46938,-0.21958,0.18523,0.37656,-0.04518,0.01776,2.22641,0.05132,-0.06868,2.31819,0.55560,-0.00163,-0.30000,-0.67040,-3.63159,746.23956,799.99810,0.54047,12.53585,0.67040,-0.35122,-9.01790,8.12587,7.77465
38.77899,0.49920,0.29767,-0.48361,-0.23083,0.18324,0.41895,-0.03599,0.01119,2.22641,0.04899,-0.06723,2.32032,0.55560,-0.00163,-0.30000,-0.67040,-3.62814,745.88519,799.99810,0.54015,12.53577,0.67040,-0.35301,-9.01790,8.12206,7.76905
38.77999,0.49920,0.29767,-0.48361,-0.23083,0.18324,0.41895,-0.03599,0.01119,2.22641,0.04899,-0.06723,2.32032,0.55560,-0.00163,-0.30000,-0.67040,-3.62814,745.88519,799.99810,0.54015,12.53570,0.67040,-0.35481,-9.02180,8.12206,7.76725
38.78099,0.49920,0.29767,-0.48361,-0.23394,0.18241,0.45814,-0.03599,0.01119,2.22641,0.04899,-0.06723,2.32032,0.55560,-0.00163,-0.30000,-0.67040,-3.62646,745.71234,798.57464,0.53999,12.53563,0.67040,-0.35661,-9.02212,8.12206,7.76545
38.78200,0.49920,0.29767,-0.48361,-0.23394,0.18241,0.45814,-0.03599,0.01119,2.22641,0.04899,-0.06723,2.32032,0.55560,-0.00163,-0.30000,-0.67040,-3.62646,745.71234,798.57464,0.53999,12.53556,0.67040,-0.35825,-8.94247,8.12206,7.76380
38.78300,0.49920,0.29767,-0.48361,-0.23644,0.18995,0.50091,-0.03599,0.01119,2.22641,0.04899,-0.06723,2.32032,0.55560,-0.00163,-0.30000,-0.67040,-3.62493,745.55480,798.57464,0.53985,12.53550,0.67040,-0.35989,-8.94247,8.12206,7.76216
38.78400,0.49920,0.29767,-0.48361,-0.23644,0.18995,0.50091,-0.03599,0.01119,2.22641,0.04899,-0.06723,2.32032,0.55560,-0.00163,-0.30000,-0.67040,-3.62493,745.55480,798.57464,0.53985,12.53544,0.67040,-0.36144,-8.89637,8.12206,7.76062
38.78499,0.49920,0.29767,-0.48361,-0.24676,0.19686,0.54890,-0.03599,0.01119,2.22641,0.04899,-0.06723,2.32032,0.55560,-0.00163,-0.30000,-0.67040,-3.62348,745.40606,797.86480,0.53972,12.53538,0.67040,-0.36299,-8.89637,8.12206,7.75907
38.78599,0.49920,0.29767,-0.48361,-0.24676,0.19686,0.54890,-0.03599,0.01119,2.22641,0.04899,-0.06723,2.32032,0.55560,-0.00163,-0.30000,-0.67040,-3.62348,745.40606,796.44885,0.53972,12.53533,0.67040,-0.36465,-8.95203,8.12206,7.75741
38.78699,0.49920,0.29767,-0.48361,-0.25756,0.19568,0.59546,-0.03599,0.01119,2.22641,0.04899,-0.06723,2.32032,0.55560,-0.00163,-0.30000,-0.67040,-3.62193,745.24658,797.15625,0.53958,12.53528,0.67040,-0.36631,-8.95203,8.12206,7.75575
38.78799,0.49920,0.29767,-0.48361,-0.25756,0.19568,0.59546,-0.03599,0.01119,2.22641,0.04899,-0.06723,2.32032,0.55560,-0.00163,-0.30000,-0.67040,-3.62193,745.24658,797.15625,0.53958,12.53524,0.67040,-0.36802,-8.97565,8.12206,7.75404
38.78900,0.37510,0.45858,-0.51192,-0.26042,0.19495,0.63836,-0.03452,0.01316,2.22641,0.04611,-0.06571,2.32467,0.55560,-0.00115,-0.30000,-0.67040,-3.62091,745.14111,797.15625,0.53949,12.53520,0.67040,-0.36972,-8.97565,8.12328,7.75355
38.79000,0.37510,0.45858,-0.51192,-0.26042,0.19495,0.63836,-0.03452,0.01316,2.22641,0.04611,-0.06571,2.32467,0.55560,-0.00115,-0.30000,-0.67040,-3.62091,745.14111,797.15625,0.53949,12.53516,0.67040,-0.37126,-8.89128,8.12328,7.75202
38.79100,0.37510,0.45858,-0.51192,-0.26260,0.20100,0.68248,-0.03452,0.01316,2.22641,0.04611,-0.06571,2.32467,0.55560,-0.00115,-0.30000,-0.67040,-3.61947,744.99353,797.15625,0.53935,12.53513,0.67050,-0.37279,-8.89128,8.12328,7.75048
38.79199,0.37510,0.45858,-0.51192,-0.26260,0.20100,0.68248,-0.03452,0.01316,2.22641,0.04611,-0.06571,2.32467,0.55560,-0.00115,-0.30000,-0.67040,-3.61947,744.99353,797.15625,0.53935,12.53510,0.67050,-0.37423,-8.84350,8.12328,7.74904
38.79299,0.37510,0.45858,-0.51192,-0.27228,0.20450,0.72777,-0.03452,0.01316,2.22641,0.04611,-0.06571,2.32467,0.55560,-0.00115,-0.30000,-0.67040,-3.61813,744.85504,797.15625,0.53923,12.53508,0.67050,-0.37568,-8.84350,8.12328,7.74760
38.79399,0.37510,0.45858,-0.51192,-0.27228,0.20450,0.72777,-0.03452,0.01316,2.22641,0.04611,-0.06571,2.32467,0.55560,-0.00115,-0.30000,-0.67040,-3.61813,744.85504,788.75036,0.53923,12.53507,0.67050,-0.37728,-8.92700,8.12328,7.74599
38.79499,0.37510,0.45858,-0.51192,-0.28226,0.19947,0.76784,-0.03452,0.01316,2.22641,0.04611,-0.06571,2.32467,0.55560,-0.00115,-0.30000,-0.67040,-3.61663,744.70050,788.75036,0.53909,12.53506,0.67050,-0.37889,-8.92700,8.12328,7.74439
38.79600,0.37510,0.45858,-0.51192,-0.28226,0.19947,0.76784,-0.03452,0.01316,2.22641,0.04611,-0.06571,2.32467,0.55560,-0.00115,-0.30000,-0.67040,-3.61663,744.70050,797.15625,0.53909,12.53505,0.67050,-0.38066,-9.00866,8.12328,7.74261
38.79700,0.37510,0.45858,-0.51192,-0.28470,0.19593,0.80275,-0.03452,0.01316,2.22641,0.04611,-0.06571,2.32467,0.55560,-0.00115,-0.30000,-0.67040,-3.61497,744.53015,797.15625,0.53893,12.53505,0.67050,-0.38243,-9.00866,8.12328,7.74084
38.79800,0.37510,0.45858,-0.51192,-0.28470,0.19593,0.80275,-0.03452,0.01316,2.22641,0.04611,-0.06571,2.32467,0.55560,-0.00115,-0.30000,-0.67040,-3.61497,744.53015,788.75036,0.53893,12.53505,0.67050,-0.38418,-8.99882,8.12328,7.73909
38.79899,0.38015,0.62383,-0.55083,-0.28682,0.20048,0.84002,-0.03147,0.02073,2.22641,0.04277,-0.06411,2.33136,0.55574,-0.00073,-0.30000,-0.67050,-3.61382,744.41162,788.75036,0.53882,12.53507,0.67050,-0.38593,-8.99882,8.12432,7.73838
38.79999,0.38015,0.62383,-0.55083,-0.28682,0.20048,0.84002,-0.03147,0.02073,2.22641,0.04277,-0.06411,2.33136,0.55574,-0.00073,-0.30000,-0.67050,-3.61382,744.41162,787.36657,0.53882,12.53508,0.67050,-0.38771,-9.01228,8.12432,7.73660
38.80099,0.38015,0.62383,-0.55083,-0.29582,0.20380,0.88067,-0.03147,0.02073,2.22641,0.04277,-0.06411,2.33136,0.55574,-0.00073,-0.30000,-0.67050,-3.61216,744.24078,785.98767,0.53866,12.53511,0.67050,-0.38948,-9.01228,8.12432,7.73483
38.80199,0.38015,0.62383,-0.55083,-0.29582,0.20380,0.88067,-0.03147,0.02073,2.22641,0.04277,-0.06411,2.33136,0.55574,-0.00073,-0.30000,-0.67050,-3.61216,744.24078,783.24420,0.53866,12.53514,0.67050,-0.39145,-9.10702,8.12432,7.73286
38.80300,0.38015,0.62383,-0.55083,-0.30361,0.19981,0.91733,-0.03147,0.02073,2.22641,0.04277,-0.06411,2.33136,0.55574,-0.00073,-0.30000,-0.67050,-3.61033,744.05163,783.24420,0.53849,12.53517,0.67050,-0.39341,-9.10702,8.12432,7.73090
38.80400,0.38015,0.62383,-0.55083,-0.30361,0.19981,0.91733,-0.03147,0.02073,2.22641,0.04277,-0.06411,2.33136,0.55574,-0.00073,-0.30000,-0.67050,-3.61033,744.05163,785.98767,0.53849,12.53522,0.67050,-0.39547,-9.15026,8.12432,7.72884
38.80500,0.38015,0.62383,-0.55083,-0.30252,0.19720,0.94767,-0.03147,0.02073,2.22641,0.04277,-0.06411,2.33136,0.55574,-0.00073,-0.30000,-0.67050,-3.60841,743.85412,785.98767,0.53830,12.53527,0.67050,-0.39752,-9.15026,8.12432,7.72679
38.80599,0.38015,0.62383,-0.55083,-0.30252,0.19720,0.94767,-0.03147,0.02073,2.22641,0.04277,-0.06411,2.33136,0.55574,-0.00073,-0.30000,-0.67050,-3.60841,743.85412,785.29998,0.53830,12.53533,0.67050,-0.39943,-9.08025,8.12432,7.72488
38.80699,0.38015,0.62383,-0.55083,-0.30081,0.20085,0.97678,-0.03147,0.02073,2.22641,0.04277,-0.06411,2.33136,0.55574,-0.00073,-0.30000,-0.67050,-3.60662,743.67004,785.29998,0.53813,12.53539,0.67050,-0.40134,-9.08025,8.12432,7.72297
38.80799,0.38015,0.62383,-0.55083,-0.30081,0.20085,0.97678,-0.03147,0.02073,2.22641,0.04277,-0.06411,2.33136,0.55574,-0.00073,-0.30000,-0.67050,-3.60662,743.67004,778.48907,0.53813,12.53547,0.67050,-0.40317,-9.03867,8.12432,7.72114
38.80899,0.37207,0.44909,-0.58528,-0.30663,0.20143,1.00487,-0.03027,0.01482,2.22641,0.03900,-0.06254,2.34010,0.55574,-0.00073,-0.30000,-0.67050,-3.60437,743.43811,785.29998,0.53791,12.53554,0.67050,-0.40500,-9.03867,8.12316,7.71815
38.81000,0.37207,0.44909,-0.58528,-0.30663,0.20143,1.00487,-0.03027,0.01482,2.22641,0.03900,-0.06254,2.34010,0.55574,-0.00073,-0.30000,-0.67050,-3.60437,743.43811,785.29998,0.53791,12.53563,0.67050,-0.40697,-9.10793,8.12316,7.71618
38.81100,0.37207,0.44909,-0.58528,-0.31246,0.19444,1.02623,-0.03027,0.01482,2.22641,0.03900,-0.06254,2.34010,0.55574,-0.00073,-0.30000,-0.67050,-3.60253,743.24835,785.29998,0.53772,12.53572,0.67050,-0.40894,-9.10800,8.12316,7.71421
38.81200,0.37207,0.44909,-0.58528,-0.31246,0.19444,1.02623,-0.03027,0.01482,2.22641,0.03900,-0.06254,2.34010,0.55574,-0.00073,-0.30000,-0.67050,-3.60253,743.24835,778.48907,0.53772,12.53583,0.67050,-0.41102,-9.16073,8.12316,7.71214
38.81299,0.37207,0.44909,-0.58528,-0.31111,0.19054,1.04136,-0.03027,0.01482,2.22641,0.03900,-0.06254,2.34010,0.55574,-0.00073,-0.30000,-0.67050,-3.60060,743.04833,785.29998,0.53753,12.53594,0.67050,-0.41309,-9.16073,8.12316,7.71006
38.81399,0.37207,0.44909,-0.58528,-0.31111,0.19054,1.04136,-0.03027,0.01482,2.22641,0.03900,-0.06254,2.34010,0.55574,-0.00073,-0.30000,-0.67050,-3.60060,743.04833,785.29998,0.53753,12.53605,0.67050,-0.41508,-9.11658,8.12316,7.70808
38.81499,0.37207,0.44909,-0.58528,-0.31079,0.19575,1.05753,-0.03027,0.01482,2.22641,0.03900,-0.06254,2.34010,0.55574,-0.00073,-0.30000,-0.67050,-3.59874,742.85687,785.29998,0.53734,12.53618,0.67050,-0.41706,-9.11658,8.12316,7.70609
38.81600,0.37207,0.44909,-0.58528,-0.31079,0.19575,1.05753,-0.03027,0.01482,2.22641,0.03900,-0.06254,2.34010,0.55574,-0.00073,-0.30000,-0.67050,-3.59874,742.85687,785.29998,0.53734,12.53632,0.67050,-0.41900,-9.08880,8.12316,7.70416
38.81700,0.37207,0.44909,-0.58528,-0.31820,0.20015,1.07549,-0.03027,0.01482,2.22641,0.03900,-0.06254,2.34010,0.55574,-0.00073,-0.30000,-0.67050,-3.59694,742.67071,785.29998,0.53716,12.53646,0.67050,-0.42093,-9.08880,8.12316,7.70223
38.81800,0.37207,0.44909,-0.58528,-0.31820,0.20015,1.07549,-0.03027,0.01482,2.22641,0.03900,-0.06254,2.34010,0.55574,-0.00073,-0.30000,-0.67050,-3.59694,742.67071,787.36657,0.53716,12.53661,0.67050,-0.42296,-9.13845,8.12316,7.70020
38.81900,0.13924,0.45076,-0.63481,-0.32368,0.19691,1.08830,-0.04206,0.01366,2.22641,0.03506,-0.06095,2.35037,0.55574,-0.00040,-0.30000,-0.67050,-3.59706,742.68365,787.36657,0.53716,12.53676,0.67050,-0.42498,-9.13845,8.12748,7.70249
38.81999,0.13924,0.45076,-0.63481,-0.32368,0.19691,1.08830,-0.04206,0.01366,2.22641,0.03506,-0.06095,2.35037,0.55574,-0.00040,-0.30000,-0.67050,-3.59706,742.68365,784.61352,0.53716,12.53693,0.67050,-0.42701,-9.14215,8.12748,7.70046
38.82099,0.13924,0.45076,-0.63481,-0.31884,0.19411,1.09484,-0.04206,0.01366,2.22641,0.03506,-0.06095,2.35037,0.55574,-0.00040,-0.30000,-0.67050,-3.59517,742.48791,779.84179,0.53696,12.53710,0.67050,-0.42904,-9.14215,8.12748,7.69844
38.82199,0.13924,0.45076,-0.63481,-0.31884,0.19411,1.09484,-0.04206,0.01366,2.22641,0.03506,-0.06095,2.35037,0.55574,-0.00040,-0.30000,-0.67050,-3.59517,742.48791,779.84179,0.53696,12.53728,0.67050,-0.43085,-9.03535,8.12748,7.69662
38.82300,0.13924,0.45076,-0.63481,-0.31281,0.19732,1.10164,-0.04206,0.01366,2.22641,0.03506,-0.06095,2.35037,0.55574,-0.00040,-0.30000,-0.67050,-3.59347,742.31280,784.61352,0.53679,12.53747,0.67050,-0.43267,-9.03535,8.12748,7.69480
38.82400,0.13924,0.45076,-0.63481,-0.31281,0.19732,1.10164,-0.04206,0.01366,2.22641,0.03506,-0.06095,2.35037,0.55574,-0.00040,-0.30000,-0.67050,-3.59347,742.31280,784.61352,0.53679,12.53768,0.67050,-0.43432,-8.95333,8.12748,7.69315
38.82500,0.13924,0.45076,-0.63481,-0.31508,0.19819,1.10991,-0.04206,0.01366,2.22641,0.03506,-0.06095,2.35037,0.55574,-0.00040,-0.30000,-0.67050,-3.59193,742.15344,779.84179,0.53662,12.53789,0.67050,-0.43597,-8.95333,8.12748,7.69150
38.82600,0.13924,0.45076,-0.63481,-0.31508,0.19819,1.10991,-0.04206,0.01366,2.22641,0.03506,-0.06095,2.35037,0.55574,-0.00040,-0.30000,-0.67050,-3.59193,742.15344,779.84179,0.53662,12.53810,0.67050,-0.43768,-8.98186,8.12748,7.68979
